Country Name	NMR	U5MR	IMZ	WTR	SNT	PPE	PRM	PRC
Afghanistan	0.099128868	0.430432955	0.551330798	0.465138925	0.320348677	0	0.546099615	0.22156131
Albania	0.874436768	0.907103825	0.996197719	0.870967048	0.966552796	0.504632595	0.522396937	0.797634949
Algeria	0.683088014	0.825872215	0.939163498	0.913138489	0.861595915	0.51845915	0.683965971	0.857937189
Andorra	0.995494142	0.995166036	0.984790875	1	1	0.394643804	0.436436113	0.793887601
Angola	0.333433464	0.291193779	0.617870722	0.268912391	0.319013814	0.501472543	0.629251469	0.192704918
Antigua and Barbuda	0.927906278	0.948612863	0.996197719	0.961337159	0.862336215	0.504718946	0.379936576	0.704187714
Argentina	0.871733253	0.923497268	0.918250951	0.994249908	0.94493215	0.450124525	0.63647008	0.862509885
Armenia	0.839591469	0.902480034	0.937262357	0.975767644	0.908024827	0.328811232	0.432771208	0.768392641
Australia	0.969059778	0.986338798	0.910646388	0.999190303	1	0.728045523	0.550785164	0.853805594
Austria	0.971462902	0.988545607	0.899239544	1	0.999771084	0.648190021	0.505246376	0.807893149
Azerbaijan	0.602282968	0.761769651	0.893536122	0.791933293	0.845122478	0.156912789	0.505753719	0.763930247
Bahamas	0.881345749	0.928226145	0.969581749	0.973150292	0.913143326	0.202762491	0.513072666	0.754380551
Bahrain	0.955542205	0.958385876	0.996197719	0.999997702	0.999997024	0.341032345	0.475228138	0.769773863
Bangladesh	0.525983779	0.712694409	0.958174905	0.962128406	0.395893866	0.171405384	0.659496666	0.630250946
Barbados	0.841994593	0.919609079	0.904942966	0.977624433	0.951210102	0.514723516	0.443104867	0.79695546
Belarus	0.984680084	0.983606557	0.986692015	0.975148808	0.939911177	0.652242954	0.49782884	0.852509801
Belgium	0.972964854	0.986338798	0.994296578	1	0.994510247	0.758218475	0.52631141	0.705394964
Belize	0.78131571	0.892812106	0.952471483	0.944998865	0.854462842	0.301569029	0.639592624	0.870910898
Benin	0.331931511	0.246637243	0.728136882	0.580618988	0.073144791	0.12741861	0.799254778	0.552771352
Bhutan	0.599879844	0.744745691	0.967680608	0.950914164	0.588352037	0.082786713	0.525709192	0.747440447
Bolivia	0.586362271	0.712694409	0.954372624	0.886151126	0.468166249	0.399552068	0.489657534	0.776366013
Bosnia and Herzegovina	0.919795734	0.970680958	0.830798479	0.969387461	0.944257169	0.719341563	0.493243642	0.832424655
Botswana	0.445178732	0.673392182	0.946768061	0.740446572	0.566547692	0.116372514	0.596935335	0.727087052
Brazil	0.830880144	0.889974779	0.946768061	0.961240411	0.830239178	0.480681428	0.719649448	0.909578366
Brunei Darussalam	0.926404326	0.942202606	0.988593156	0.993953436	0.960917172	0.442681618	0.563208382	0.890395335
Bulgaria	0.926404326	0.948928121	0.918250951	0.99173952	0.84998664	0.525905155	0.499481364	0.87002302
Burkina Faso	0.433463503	0.289092055	0.885931559	0.416809776	0.149069645	0.022657725	0.326158849	0.360447619
Burma	0.462901772	0.59604876	0.823193916	0.57490218	0.631216673	0.101235796	0.498051244	0.680614894
Burundi	0.466806849	0.414985288	0.950570342	0.451701687	0.45939996	0.069572063	0.931683293	0.426472108
Cambodia	0.63322319	0.748528794	0.847908745	0.645637325	0.387508546	0.0994844	0.714480458	0.742479689
